Year,Gender,Degree,School,Title,Degrees Conferred
2016-17,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2
2016-17,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,5
2016-17,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,7
2016-17,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,22
2017-18,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,4
2017-18,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,7
2017-18,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,13
2017-18,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,18
2018-19,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
2018-19,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,4
2018-19,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,6
2018-19,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,31
2019-20,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
2019-20,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
2019-20,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,11
2019-20,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,12
2020-21,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
2020-21,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
2020-21,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,8
2020-21,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,9
2020-21,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,27
